full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
bfly123/claude_codex_bridge,2465,2465,235,3,3,0,https://github.com/bfly123/claude_codex_bridge
JrCx7scC/claude-code-source,365,365,538,0,0,0,https://github.com/JrCx7scC/claude-code-source
qwibitai/nanoclaw,28554,28554,12763,3,3,-1,https://github.com/qwibitai/nanoclaw
edmund-io/edmunds-claude-code,1415,1415,282,0,0,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3708,3708,261,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
Yeachan-Heo/oh-my-claudecode,32481,32481,3012,20,20,2,https://github.com/Yeachan-Heo/oh-my-claudecode
snarktank/ralph,18437,18437,1828,12,12,0,https://github.com/snarktank/ralph
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3641,3641,698,1,1,0,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
AICoderTudou/claude-code-tudou,497,497,401,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
router-for-me/CLIProxyAPI,30549,30549,5087,19,19,6,https://github.com/router-for-me/CLIProxyAPI
carlvellotti/claude-code-pm-course,1952,1952,307,2,2,1,https://github.com/carlvellotti/claude-code-pm-course
alirezarezvani/claude-skills,13682,13682,1837,23,23,4,https://github.com/alirezarezvani/claude-skills
wshobson/agents,34726,34726,3782,10,10,2,https://github.com/wshobson/agents
ghuntley/claude-code-source-code-deobfuscation,974,974,554,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
andrew-kramer-inno/claude-code-source-build,582,582,517,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
anthropics/claude-plugins-official,18521,18521,2248,10,10,3,https://github.com/anthropics/claude-plugins-official
feiskyer/claude-code-settings,1483,1483,218,0,0,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,1071,1071,241,0,0,0,https://github.com/sugyan/claude-code-webui
Windy3f3f3f3f/claude-code-from-scratch,1075,1075,347,0,0,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
eyaltoledano/claude-task-master,26980,26980,2518,3,3,0,https://github.com/eyaltoledano/claude-task-master
darcyegb/ClaudeCodeAgents,680,680,61,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
Hyper66666/claude-code-sourcemap,213,213,460,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
siteboon/claudecodeui,10518,10518,1413,5,5,3,https://github.com/siteboon/claudecodeui
centminmod/my-claude-code-setup,2253,2253,217,1,1,0,https://github.com/centminmod/my-claude-code-setup
paoloanzn/free-code,8241,8241,1932,8241,8241,1932,https://github.com/paoloanzn/free-code
